int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
5;UF;$2.;;2;0;6;c;TRUE
5;V0102;$8.;;8;0;12;c;TRUE
13;V0103;$3.;;3;0;15;c;TRUE
16;V0301;$2.;;2;0;17;c;TRUE
18;V0302;$1.;;1;0;18;c;TRUE
19;V3031;$2.;;2;0;20;c;TRUE
21;V3032;$2.;;2;0;22;c;TRUE
23;V3033;$4.;;4;0;26;c;TRUE
27;V8005;3.;;3;0;29;i;FALSE
30;V0401;$1.;;1;0;30;c;TRUE
31;V0402;$1.;;1;0;31;c;TRUE
32;V0403;$1.;;1;0;32;c;TRUE
33;V0404;$1.;;1;0;33;c;TRUE
34;V0405;$1.;;1;0;34;c;TRUE
35;V0406;$1.;;1;0;35;c;TRUE
36;V0407;2.;;2;0;37;i;FALSE
38;V0408;$1.;;1;0;38;c;TRUE
39;V4111;$1.;;1;0;39;c;TRUE
40;V4112;$1.;;1;0;40;c;TRUE
41;V4011;$1.;;1;0;41;c;TRUE
42;V0412;$1.;;1;0;42;c;TRUE
43;V0501;$1.;;1;0;43;c;TRUE
44;V0502;$1.;;1;0;44;c;TRUE
45;V5030;$2.;;2;0;46;c;TRUE
47;V0504;$1.;;1;0;47;c;TRUE
48;V0505;$1.;;1;0;48;c;TRUE
49;V5061;$1.;;1;0;49;c;TRUE
50;V5062;$1.;;1;0;50;c;TRUE
51;V5063;$1.;;1;0;51;c;TRUE
52;V5064;$1.;;1;0;52;c;TRUE
53;V5065;$1.;;1;0;53;c;TRUE
54;V0507;$1.;;1;0;54;c;TRUE
55;V5080;$2.;;2;0;56;c;TRUE
57;V5090;$2.;;2;0;58;c;TRUE
59;V0510;$1.;;1;0;59;c;TRUE
60;V0511;$1.;;1;0;60;c;TRUE
61;V5121;$1.;;1;0;61;c;TRUE
62;V5122;$1.;;1;0;62;c;TRUE
63;V5123;$1.;;1;0;63;c;TRUE
64;V5124;$1.;;1;0;64;c;TRUE
65;V5125;$1.;;1;0;65;c;TRUE
66;V5126;$1.;;1;0;66;c;TRUE
67;V0601;$1.;;1;0;67;c;TRUE
68;V0602;$1.;;1;0;68;c;TRUE
69;V6002;$1.;;1;0;69;c;TRUE
70;V6020;$1.;;1;0;70;c;TRUE
71;V6003;$2.;;2;0;72;c;TRUE
73;V6030;$1.;;1;0;73;c;TRUE
74;V0604;$1.;;1;0;74;c;TRUE
75;V0605;$1.;;1;0;75;c;TRUE
76;V0606;$1.;;1;0;76;c;TRUE
77;V6007;$2.;;2;0;78;c;TRUE
79;V6070;$1.;;1;0;79;c;TRUE
80;V0608;$1.;;1;0;80;c;TRUE
81;V0609;$1.;;1;0;81;c;TRUE
82;V0610;$1.;;1;0;82;c;TRUE
83;V0611;$1.;;1;0;83;c;TRUE
84;V06111;$1.;;1;0;84;c;TRUE
85;V061111;$1.;;1;0;85;c;TRUE
86;V061112;$1.;;1;0;86;c;TRUE
87;V061113;$1.;;1;0;87;c;TRUE
88;V061114;$1.;;1;0;88;c;TRUE
89;V061115;$1.;;1;0;89;c;TRUE
90;V061116;$1.;;1;0;90;c;TRUE
91;V06112;$1.;;1;0;91;c;TRUE
92;V0612;$1.;;1;0;92;c;TRUE
93;V0701;$1.;;1;0;93;c;TRUE
94;V0702;$1.;;1;0;94;c;TRUE
95;V0703;$1.;;1;0;95;c;TRUE
96;V0704;$1.;;1;0;96;c;TRUE
97;V0705;$1.;;1;0;97;c;TRUE
98;V7060;$4.;;4;0;101;c;TRUE
102;V7070;$5.;;5;0;106;c;TRUE
107;V0708;$1.;;1;0;107;c;TRUE
108;V7090;$4.;;4;0;111;c;TRUE
112;V7100;$5.;;5;0;116;c;TRUE
117;V0711;$1.;;1;0;117;c;TRUE
118;V7121;$1.;;1;0;118;c;TRUE
119;V7122;12.;;12;0;130;d;FALSE
131;V7124;$1.;;1;0;131;c;TRUE
132;V7125;12.;;12;0;143;d;FALSE
144;V7127;$1.;;1;0;144;c;TRUE
145;V7128;$1.;;1;0;145;c;TRUE
146;V0713;2.;;2;0;147;i;FALSE
148;V0714;$1.;;1;0;148;c;TRUE
149;V0715;2.;;2;0;150;i;FALSE
151;V0716;$1.;;1;0;151;c;TRUE
152;V9001;$1.;;1;0;152;c;TRUE
