int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
2;rm;2.;;2;0;3;i;FALSE
4;periodo_real;2.;;2;0;5;i;FALSE
6;n_domic;8.;;8;0;13;i;FALSE
14;unid_cons;1.;;1;0;14;i;FALSE
15;informante;2.;;2;0;16;i;FALSE
17;quest;1.;;1;0;17;i;FALSE
18;quadro;2.;;2;0;19;i;FALSE
20;aux_1;2.;;2;0;21;i;FALSE
22;aux_2;2.;;2;0;23;i;FALSE
24;extr_amos;2.;;2;0;25;i;FALSE
26;p_area_metrop;4.;;4;0;29;i;FALSE
30;p_mun_cap;4.;;4;0;33;i;FALSE
34;rel_com_chefe;1.;;1;0;34;i;FALSE
35;cond_pres;1.;;1;0;35;i;FALSE
36;sexo;1.;;1;0;36;i;FALSE
37;idade_calc;3.;;3;0;40;i;FALSE
40;freq_escola;1.;;1;0;40;i;FALSE
41;niv_instr;2.;;2;0;42;i;FALSE
43;unid_de_orcam_desp;1.;;1;0;43;i;FALSE
44;unid_de_orcam_rend;1.;;1;0;44;i;FALSE
45;clas_de_id_pes;2.;;2;0;46;i;FALSE
47;tot_pes_na_fam;2.;;2;0;48;i;FALSE
49;clas_de_comp_fam;1.;;1;0;49;i;FALSE
50;unid_cons_desp;2.;;2;0;51;i;FALSE
52;unid_cons_receb;2.;;2;0;53;i;FALSE
54;pes_com_receb;2.;;2;0;55;i;FALSE
56;clas_pes_com_receb;1.;;1;0;56;i;FALSE
57;comp_pes_com_receb;2.;;2;0;58;i;FALSE
59;n_de_cart_cred;2.;;2;0;60;i;FALSE
61;n_de_cheq_esp;2.;;2;0;62;i;FALSE
63;ren_fam;2.;;2;0;64;i;FALSE
65;soma_rend_fam;10.;;10;0;74;i;FALSE
75;clas_de_cart_cred;1.;;1;0;75;i;FALSE
76;clas_cheq_esp;1.;;1;0;76;i;FALSE
77;tip_de_fam_e_comp;2.;;2;0;78;i;FALSE
79;som_da_ren_empregado;10.;;10;0;88;i;FALSE
89;som_da_ren_empregador;10.;;10;0;98;i;FALSE
99;som_da_ren_cont_propr;10.;;10;0;108;i;FALSE
109;som_da_ren_transf;10.;;10;0;118;i;FALSE
119;som_da_ren_imov_mov;10.;;10;0;128;i;FALSE
129;som_de_out_rend;10.;;10;0;138;i;FALSE
139;som_da_princ_orig_rend;15.;;15;0;153;i;FALSE
154;clas_da_princ_orig_rend_pes;1.;;1;0;154;i;FALSE
155;som_da_ren_da_pes;10.;;10;0;164;i;FALSE
165;clas_de_ren_da_pess;2.;;2;0;166;i;FALSE
167;qualq_TV;1.;;1;0;167;i;FALSE
