int_pos;var_name;x;label;length;decimal_places;fin_pos;col_type;CHAR
1;Ano;$4.;;4;0;4;c;TRUE
5;Trimestre;$1.;;1;0;5;c;TRUE
6;UF;$2.;;2;0;7;c;TRUE
8;Capital;$2.;;2;0;9;c;TRUE
10;RM_RIDE;$2.;;2;0;11;c;TRUE
12;UPA;$9.;;9;0;20;c;TRUE
21;Estrato;$7.;;7;0;27;c;TRUE
28;V1008;$2.;;2;0;29;c;TRUE
30;V1014;$2.;;2;0;31;c;TRUE
32;V1016;$1.;;1;0;32;c;TRUE
33;V1023;$1.;;1;0;33;c;TRUE
34;V1027;15.8;;15;8;48;d;FALSE
49;V1028;15.8;;15;8;63;d;FALSE
64;V1029;9.;;9;0;72;i;FALSE
73;posest;$3.;;3;0;75;c;TRUE
76;V2001;2.;;2;0;77;i;FALSE
78;V2003;$2.;;2;0;79;c;TRUE
80;V2005;$2.;;2;0;81;c;TRUE
82;V2007;$1.;;1;0;82;c;TRUE
83;V2008;$2.;;2;0;84;c;TRUE
85;V20081;$2.;;2;0;86;c;TRUE
87;V20082;$4.;;4;0;90;c;TRUE
91;V2009;3.;;3;0;93;i;FALSE
94;V2010;$1.;;1;0;94;c;TRUE
95;V3001;$1.;;1;0;95;c;TRUE
96;V3002;$1.;;1;0;96;c;TRUE
97;V3002A;$1.;;1;0;97;c;TRUE
98;V3003A;$2.;;2;0;99;c;TRUE
100;V3004;$1.;;1;0;100;c;TRUE
101;V3005A;$1.;;1;0;101;c;TRUE
102;V3006;$2.;;2;0;103;c;TRUE
104;V3007;$1.;;1;0;104;c;TRUE
105;V3008;$1.;;1;0;105;c;TRUE
106;V3009A;$2.;;2;0;107;c;TRUE
108;V3010;$1.;;1;0;108;c;TRUE
109;V3011A;$1.;;1;0;109;c;TRUE
110;V3012;$1.;;1;0;110;c;TRUE
111;V3013;$2.;;2;0;112;c;TRUE
113;V3014;$1.;;1;0;113;c;TRUE
114;V4001;$1.;;1;0;114;c;TRUE
115;V4002;$1.;;1;0;115;c;TRUE
116;V4003;$1.;;1;0;116;c;TRUE
117;V4004;$1.;;1;0;117;c;TRUE
118;V4005;$1.;;1;0;118;c;TRUE
119;V4006A;$1.;;1;0;119;c;TRUE
120;V4008;$1.;;1;0;120;c;TRUE
121;V40081;$2.;;2;0;122;c;TRUE
123;V40082;$2.;;2;0;124;c;TRUE
125;V40083;$2.;;2;0;126;c;TRUE
127;V4009;$1.;;1;0;127;c;TRUE
128;V4010;$4.;;4;0;131;c;TRUE
132;V4012;$1.;;1;0;132;c;TRUE
133;V40121;$1.;;1;0;133;c;TRUE
134;V4013;$5.;;5;0;138;c;TRUE
139;V40132A;$1.;;1;0;139;c;TRUE
140;V4014;$1.;;1;0;140;c;TRUE
141;V4019;$1.;;1;0;141;c;TRUE
142;V4024;$1.;;1;0;142;c;TRUE
143;V4025;$1.;;1;0;143;c;TRUE
144;V4028;$1.;;1;0;144;c;TRUE
145;V4029;$1.;;1;0;145;c;TRUE
146;V4032;$1.;;1;0;146;c;TRUE
147;V4033;$1.;;1;0;147;c;TRUE
148;V40331;$1.;;1;0;148;c;TRUE
149;V403311;$1.;;1;0;149;c;TRUE
150;V403312;8.;;8;0;157;i;FALSE
158;V40332;$1.;;1;0;158;c;TRUE
159;V403321;$1.;;1;0;159;c;TRUE
160;V403322;8.;;8;0;167;i;FALSE
168;V40333;$1.;;1;0;168;c;TRUE
169;V403331;$1.;;1;0;169;c;TRUE
170;V4034;$1.;;1;0;170;c;TRUE
171;V40341;$1.;;1;0;171;c;TRUE
172;V403411;$1.;;1;0;172;c;TRUE
173;V403412;8.;;8;0;180;i;FALSE
181;V40342;$1.;;1;0;181;c;TRUE
182;V403421;$1.;;1;0;182;c;TRUE
183;V403422;8.;;8;0;190;i;FALSE
191;V4039;3.;;3;0;193;i;FALSE
194;V4039C;3.;;3;0;196;i;FALSE
197;V4040;$1.;;1;0;197;c;TRUE
198;V40401;2.;;2;0;199;i;FALSE
200;V40402;2.;;2;0;201;i;FALSE
202;V40403;2.;;2;0;203;i;FALSE
204;V4041;$4.;;4;0;207;c;TRUE
208;V4043;$1.;;1;0;208;c;TRUE
209;V40431;$1.;;1;0;209;c;TRUE
210;V4044;$5.;;5;0;214;c;TRUE
215;V4045;$1.;;1;0;215;c;TRUE
216;V4046;$1.;;1;0;216;c;TRUE
217;V4047;$1.;;1;0;217;c;TRUE
218;V4048;$1.;;1;0;218;c;TRUE
219;V4049;$1.;;1;0;219;c;TRUE
220;V4050;$1.;;1;0;220;c;TRUE
221;V40501;$1.;;1;0;221;c;TRUE
222;V405011;$1.;;1;0;222;c;TRUE
223;V405012;8.;;8;0;230;i;FALSE
231;V40502;$1.;;1;0;231;c;TRUE
232;V405021;$1.;;1;0;232;c;TRUE
233;V405022;8.;;8;0;240;i;FALSE
241;V40503;$1.;;1;0;241;c;TRUE
242;V405031;$1.;;1;0;242;c;TRUE
243;V4051;$1.;;1;0;243;c;TRUE
244;V40511;$1.;;1;0;244;c;TRUE
245;V405111;$1.;;1;0;245;c;TRUE
246;V405112;8.;;8;0;253;i;FALSE
254;V40512;$1.;;1;0;254;c;TRUE
255;V405121;$1.;;1;0;255;c;TRUE
256;V405122;8.;;8;0;263;i;FALSE
264;V4056;3.;;3;0;266;i;FALSE
267;V4056C;3.;;3;0;269;i;FALSE
270;V4057;$1.;;1;0;270;c;TRUE
271;V4058;$1.;;1;0;271;c;TRUE
272;V40581;$1.;;1;0;272;c;TRUE
273;V405811;$1.;;1;0;273;c;TRUE
274;V405812;8.;;8;0;281;i;FALSE
282;V40582;$1.;;1;0;282;c;TRUE
283;V405821;$1.;;1;0;283;c;TRUE
284;V405822;8.;;8;0;291;i;FALSE
292;V40583;$1.;;1;0;292;c;TRUE
293;V405831;$1.;;1;0;293;c;TRUE
294;V40584;$1.;;1;0;294;c;TRUE
