"int_pos";"var_name";"x";"label";"length";"decimal_places";"fin_pos";"col_type";"CHAR"
1;"MASCARA";"8.";"";8;0;8;"i";FALSE
9;"ANO";"5.";"";5;0;13;"i";FALSE
14;"CODMUNIC";"12.";"";12;0;25;"d";FALSE
26;"UF";"$CHAR50.";"";50;0;75;"c";TRUE
76;"SIGLA";"$CHAR2.";"";2;0;77;"c";TRUE
78;"MUNIC";"$CHAR50.";"";50;0;127;"c";TRUE
128;"DEP";"$CHAR10.";"";10;0;137;"c";TRUE
138;"LOC";"$CHAR10.";"";10;0;147;"c";TRUE
148;"CODFUNC";"$CHAR11.";"";11;0;158;"c";TRUE
159;"NOMECUR";"$CHAR50.";"";50;0;208;"c";TRUE
209;"GRD_COD";"$CHAR1.";"";1;0;209;"c";TRUE
210;"AREA_COD";"$CHAR3.";"";3;0;212;"c";TRUE
213;"SUBAREAC";"$CHAR5.";"";5;0;217;"c";TRUE
218;"EP111";"7.";"";7;0;224;"i";FALSE
225;"EP112";"7.";"";7;0;231;"i";FALSE
232;"EP113";"7.";"";7;0;238;"i";FALSE
239;"EP114";"7.";"";7;0;245;"i";FALSE
246;"EP115";"7.";"";7;0;252;"i";FALSE
253;"EP116";"7.";"";7;0;259;"i";FALSE
260;"EP117";"7.";"";7;0;266;"i";FALSE
267;"EP121";"7.";"";7;0;273;"i";FALSE
274;"EP122";"7.";"";7;0;280;"i";FALSE
281;"EP123";"7.";"";7;0;287;"i";FALSE
288;"EP124";"7.";"";7;0;294;"i";FALSE
295;"EP125";"7.";"";7;0;301;"i";FALSE
302;"EP126";"7.";"";7;0;308;"i";FALSE
309;"EP127";"7.";"";7;0;315;"i";FALSE
316;"EP118";"7.";"";7;0;322;"i";FALSE
323;"EP119";"7.";"";7;0;329;"i";FALSE
330;"EP128";"7.";"";7;0;336;"i";FALSE
337;"EP129";"7.";"";7;0;343;"i";FALSE
344;"EP131";"7.";"";7;0;350;"i";FALSE
351;"EP132";"7.";"";7;0;357;"i";FALSE
358;"EP133";"7.";"";7;0;364;"i";FALSE
365;"EP134";"7.";"";7;0;371;"i";FALSE
372;"EP135";"7.";"";7;0;378;"i";FALSE
379;"EP136";"7.";"";7;0;385;"i";FALSE
386;"EP137";"7.";"";7;0;392;"i";FALSE
393;"EP141";"7.";"";7;0;399;"i";FALSE
400;"EP142";"7.";"";7;0;406;"i";FALSE
407;"EP143";"7.";"";7;0;413;"i";FALSE
414;"EP144";"7.";"";7;0;420;"i";FALSE
421;"EP145";"7.";"";7;0;427;"i";FALSE
428;"EP146";"7.";"";7;0;434;"i";FALSE
435;"EP147";"7.";"";7;0;441;"i";FALSE
442;"EP138";"7.";"";7;0;448;"i";FALSE
449;"EP139";"7.";"";7;0;455;"i";FALSE
456;"EP148";"7.";"";7;0;462;"i";FALSE
463;"EP149";"7.";"";7;0;469;"i";FALSE
